DATE,ME,AVG,TIME,RELATIVE SCORE,CO2,TEMP
05/24/19,141,138,,102.173913043478,,
05/24/19,212,298,,71.1409395973154,,
05/26/19,159,155,,102.58064516129,,
05/26/19,174,232,,75,,
05/26/19,189,189,,100,,
05/26/19,167,169,,98.8165680473373,,
05/26/19,161,174,,92.5287356321839,,
05/26/19,100,157,,63.6942675159236,,
05/26/19,194,212,,91.5094339622642,,
05/26/19,159,239,,66.5271966527197,,
05/26/19,192,202,,95.049504950495,,
05/26/19,162,176,,92.0454545454546,,
05/26/19,172,195,,88.2051282051282,,
05/26/19,154,253,,60.8695652173913,,
05/26/19,122,199,,61.3065326633166,,
05/26/19,171,200,,85.5,,
05/26/19,182,208,,87.5,,
06/01/19,144,155,,92.9032258064516,,
06/01/19,177,216,,81.9444444444444,,
06/01/19,188,289,,65.0519031141868,,
06/01/19,158,190,,83.1578947368421,,
06/01/19,161,248,,64.9193548387097,,
06/01/19,102,140,,72.8571428571429,,
06/10/19,146,224,,65.1785714285714,,
06/10/19,137,172,,79.6511627906977,,
06/10/19,160,188,,85.1063829787234,,
06/10/19,258,264,,97.7272727272727,,
06/10/19,73,119,,61.3445378151261,,
06/10/19,114,185,,61.6216216216216,,
06/10/19,119,116,,102.586206896552,,
06/10/19,216,151,,143.046357615894,,
06/10/19,210,246,,85.3658536585366,,
06/10/19,120,126,,95.2380952380952,,
06/10/19,162,233,,69.5278969957082,,
06/10/19,262,269,,97.3977695167286,,
06/10/19,134,106,,126.415094339623,,
06/10/19,224,285,,78.5964912280702,,
06/10/19,260,241,,107.883817427386,,
06/10/19,318,287,,110.801393728223,,
06/17/19,199,282,,70.5673758865248,,
06/17/19,230,274,,83.9416058394161,,
06/17/19,141,198,,71.2121212121212,,
06/17/19,144,209,,68.8995215311005,,
06/17/19,194,163,,119.018404907975,,
06/17/19,85,113,,75.2212389380531,,
06/17/19,175,200,,87.5,,
06/17/19,157,217,,72.3502304147466,,
06/19/19,83,137,,60.5839416058394,,
06/19/19,125,128,,97.65625,,
06/19/19,186,160,,116.25,,
06/19/19,192,198,,96.969696969697,,
06/19/19,269,279,,96.415770609319,,
06/19/19,168,198,,84.8484848484848,,
06/19/19,215,325,,66.1538461538462,,
06/19/19,200,244,,81.9672131147541,,
06/19/19,159,213,,74.6478873239437,,
06/19/19,209,248,,84.2741935483871,,
06/19/19,172,177,,97.1751412429379,,
06/20/19,143,161,,88.8198757763975,,
06/20/19,167,165,,101.212121212121,,
06/20/19,116,134,,86.5671641791045,,
06/20/19,212,207,,102.415458937198,,
06/20/19,171,185,,92.4324324324324,,
07/06/19,226,249,,90.7630522088353,,
07/06/19,249,253,,98.4189723320158,,
07/06/19,163,217,,75.1152073732719,,
07/06/19,270,276,,97.8260869565217,,
07/06/19,207,241,,85.8921161825726,,
07/06/19,108,144,,75,,
07/06/19,335,228,,146.929824561404,,
07/06/19,145,191,,75.9162303664921,,
07/06/19,181,197,,91.8781725888325,,
07/08/19,139,180,,77.2222222222222,,
07/08/19,176,158,,111.392405063291,,
07/08/19,163,207,,78.743961352657,,
07/08/19,164,205,,80,,
07/08/19,285,241,,118.257261410788,,
07/08/19,146,160,,91.25,,
07/08/19,108,138,,78.2608695652174,,
07/13/19,232,230,,100.869565217391,,
07/13/19,281,278,,101.079136690647,,
07/13/19,262,249,,105.220883534137,,
07/13/19,215,189,,113.756613756614,,
07/13/19,217,177,,122.598870056497,,
11/02/19,273,250,,109.2,,
11/02/19,169,246,,68.6991869918699,,
11/02/19,180,217,,82.9493087557604,,
11/02/19,181,222,,81.5315315315315,,
11/02/19,198,207,,95.6521739130435,,
11/02/19,164,185,,88.6486486486487,,
11/07/19,278,339,,82.0058997050148,,
11/07/19,197,249,,79.1164658634538,,
11/07/19,179,190,,94.2105263157895,,
11/07/19,165,157,,105.095541401274,,
11/07/19,141,135,,104.444444444444,,
11/10/19,198,207,,95.6521739130435,,
11/10/19,216,237,,91.1392405063291,,
11/10/19,255,213,,119.718309859155,,
11/10/19,240,321,,74.7663551401869,,
11/10/19,124,146,,84.9315068493151,,
11/10/19,195,121,,161.157024793388,,
11/10/19,167,199,,83.9195979899498,,
11/10/19,187,188,,99.468085106383,,
11/10/19,175,243,,72.0164609053498,,
11/10/19,322,419,,76.8496420047733,,
11/10/19,194,262,,74.0458015267176,,
11/10/19,261,276,,94.5652173913043,,
11/10/19,106,130,,81.5384615384615,,
11/10/19,146,196,,74.4897959183674,,
11/15/19,223,220,,101.363636363636,,
